1girl,0,4114588,"1个女人,1个女孩"
sole_female,0,4114588,"1个女人"
1girls,0,4114587,"1个女人"
solo,0,3426446,"单人"
solo_female,0,3426446,"单人"
female_solo,0,3426445,"单人"
highres,5,3008413,"高分辨率"
high_res,5,3008412,"高分辨率"
high_resolution,5,3008411,"高分辨率"
hires,5,3008410,"高分辨率"
long_hair,0,2898315,"长发"
longhair,0,2898315,"长发"
commentary_request,5,2610959,"评论请求"
breasts,0,2252741,"胸部,乳房"
breats,0,2252741,"胸部"
oppai,0,2252741,"胸部"
boobs,0,2252740,"胸部"
breast,0,2252739,"胸部"
tits,0,2252736,"胸部"
looking_at_viewer,0,2017032,"看着镜头,看向阅图者,看着观众"
pov_eye_contact,0,2017032,"看着镜头"
blush,0,1987494,"脸红,脸红的"
blushing,0,1987493,"脸红,脸红的"
flush,0,1987492,"脸红,脸红的"
flushed,0,1987491,"脸红,脸红的"
smile,0,1847264,"微笑"
:),0,1847263,"微笑"
:},0,1847262,"微笑"
smiling,0,1847261,"微笑"
short_hair,0,1530601,"短发"
short-hair,0,1530601,"短发"
shorthair,0,1530601,"短发"
open_mouth,0,1521316,"张开嘴,张口"
mouth_open,0,1521316,"张开嘴"
bangs,0,1446592,"刘海"
blue_eyes,0,1192965,"蓝色眼睛,蓝眼,蓝眼睛"
blueeyes,0,1192965,"蓝色眼睛"
light_blue_eyes,0,1192965,"蓝色眼睛"
multiple_girls,0,1097189,"多个女孩"
skirt,0,1072680,"短裙,裙子"
blonde_hair,0,1070839,"金发"
blondehair,0,1070839,"金发"
blond,0,1070838,"金发"
blond_hair,0,1070837,"金发"
blonde,0,1070836,"金发"
gold_hair,0,1070834,"金发"
yellow_hair,0,1070833,"金发"
large_breasts,0,1051375,"大胸(d),大乳房"
big_breasts,0,1051374,"大胸(d)"
large_boobs,0,1051373,"大胸(d)"
large_breast,0,1051372,"大胸(d)"
large_tits,0,1051371,"大胸(d)"
brown_hair,0,1046479,"棕发,茶发,棕色头发"
brown-hair,0,1046479,"棕发"
brownhair,0,1046479,"棕发"
